"Employee_ID","Name","Department","Salary","Joining_Date","Years_of_Service"
"456def","Jane Smith","Marketing",4000,"2015-07-20",8
"012jkl","Sarah Williams","Human Resources",4500,"2018-11-05",5
"345mno","Michael Brown","Sales",5500,"2017-09-12",6
"901stu","Jessica Wilson","Customer Service",3800,"2016-04-18",7
"234vwx","Christopher Martinez","Operations",4800,"2014-12-30",9
"123cd","Laura Garcia","Finance",5800,"2017-03-21",6
"456efg","Robert Lee","Business Development",5100,"2017-04-07",6
"012klm","Matthew Clark","Logistics",4300,"2018-02-27",5
"901tuv","Rebecca Hall","Administration",4700,"2017-05-06",6
"890a","Thomas Allen","Customer Service",4100,"2018-06-14",5
"123bc","Michelle White","Operations",4900,"2017-01-27",6
"456de","Ryan Hall","Information Technology",6800,"2015-08-09",8
"012hi","Andrew Green","Finance",5300,"2018-07-05",5
"901no","Melissa Turner","Logistics",4200,"2018-01-16",5
"234pq","Erica Hill","Logistics",5600,"2017-07-29",6
